words	cat_label	sent_label
送 了 两个 小样   两大瓶   还 送 了 一包 两片 的 尿不湿   第一张 图 右边 开 了 的 那 瓶 是 我 在 沃尔玛 买 的   看 外观 一模一样   应该 是 正品	0	1
很快 就 送到 了 ， 下雨天 快递 员 辛苦 了 ， 苹果 都 没坏 真好	6	1
是 一个 相当 不错 的 酒店 ， 性价比 可以 。 房间 较大 也 较 干净 ， 下次 到 福州 会 再 入住 此 酒店 。	5	1
续航 不行 ， 屏幕 也 有 问题 ， 玩 王者 荣耀 多触 控 失灵 ， 按着 方向 放不出 技能 。 我 一般 买 东西 都 是 用 一个月 后 再 来 评价 。	3	0
生鲜 一直 在 京东 买 ， 快递 服务 好 ， 还 把 保鲜盒 留下 ， 说 第二天 再来 取 ， 信任 京东	6	1
六月 十八号 前两天 买 的 ， 产品质量 很 好 。 这 段 价格 浮动 较大 。 和 京东 客服 沟通 了 ， 一直 推诿 ， 不 搭理 我 。 电话 客服 31905 还 一直 和 我 呛 呛 ， 我 刚要 反映 问题 ， 她 就 说话 打断 我 ， 连 沟通 的 礼貌 都 没有 ， 态度 及其 恶劣 ， 不 知道 京东 是 怎么 培训 的 ， 客服 我 一星 都 不想 给 。	0	0
刚 开始 ， 我 是 帮 我 的 一个 同学 买 了 这 一套 书 。 后来 ， 自己 实在 受不了 诱惑 ， 又 买 了 另外 的 三本 。 我 一直 都 很 欣赏 张小娴 的 文章 。 我 一直 在 想 ， 是不是 是 香港 的 环境 造就 了 这样 一个 张小娴 。 张小娴 的 文章 ， 并 不是 用 华丽 的 词藻 堆积起来 的 作品 。 她 只是 用 了 所有 平凡人 都 会 的 词语 ， 勾画 了 一幅幅 爱情 图画 。 她 用 最 平实 的 语句 ， 告诉 了 我们 人生 的 变幻莫测 。 曾 有人 说 ， 看 了 她 的 文章 ， 有点 不敢 谈恋爱 了 。 因为 她 清晰 的 点 出 了 爱情 的 实质 。 可是 在我看来 ， 没有 自己 亲身 体验 过 的 爱情 经历 ， 是 不能 成就 一个 圆满 的 人生 的 。 或许 张小娴 点出 了 我们 人生 的 真谛 ， 她 所说 的 故事 让 我们 觉得 迷茫 而 不知所措 。 但是 ， 我们 应该 也 要 勇敢 的 面对 生活 ， 对于 她 所说 的 ， 我们 应该 要 做好 保护 自己 的 措施 ， 防患于未然 。 我 觉得 这才 是 看 完 她 的 书 ， 所 获得 的 最大 收获 。 如果 看 了 她 的 文章 ， 让 我们 觉得 世界 太过 黑暗 ， 导致 我们 不敢 与 人 交往 的话 ， 那 我们 就 错 了 。 我 相信 ， 这 也 不是 作者 的 初衷 哦 。 我 还是 会 支持 张小娴 ， 也 还是 会 继续 看 她 的 书 。 看 她 的 书 ， 让 我 受益匪浅 。	1	1
这 真的 是 我 吃 过 最 难吃 的 苹果 了 ！ 巨小 无比 。 还 一点 味道 都 没有 。 不甜 不酸 。 吃 起来   很 不爽	6	0
给 女朋友 买 的 ， 但是 感觉 个 商店 买 的 味道 不怎么 一样 ， 感觉 被 骗 了 的 感觉 … …	0	0
今天 晚上 被 人放 飞机 了 话 说 最近 很 是 上火 今晚 先是 两包 夏桑菊 ， 接着 来 了 杯 清热 排毒 茶 ， 最后 是 现在 的 蒙牛 牌 纯牛奶 ， 希望 明天 醒来 能 舒服 点 都 是 看 电影 吃零食 惹祸 晚安 ~ ~ ~	6	1
刚买 就 降价 ， 差评 。 送货员 ， 我 催 了 一下下 就 挂 我 电话 ， 差差 差评 ！	3	0
爱德华 的 礼物 看过 后 ， 真的 觉得 受益匪浅 , 原来 在生活中 、 工作 中 遇到 的 人 与 事 ， 是 可以 用 那么 有意思 的 语言 来 说明 ， 并且 总结 出 观点 、 看法 、 还 可以 用 各种 不同 的 方式 去 运用 。 对 个人 在 以后 的 职来 生涯 中 可以 用到 那些 看似 在生活中 微不足道 的 事情 ， 却 影响 事业 发展 的 工作 方式 与 方法 得 运用 ， 使 其 达到 那样 完美 的 职场 天地 . 非常 棒 的 书 , 一本 ? 一语惊醒 梦中人 ? 的 好书 .	1	1
本人 买到 的 可能 是 假 的 ， 都 扔掉 了 ... 好无语	0	0
听歌 不错 显示 屏幕 好	3	1
书放 了 一段时间 了 ， 我 想 征求 孩子 的 意见 ， 要 不 送给 更 小 一点 的 孩子 ， 可 她 不 同意 ， 原因 是 想 看 《 我 不想 生气 》 。 想一想 ， 这 情绪 并 不是 可以 看 完 了 就 知道 怎么 管理 的 ， 虽说 内容 似乎 简单 ， 但是 能以 幼儿 的 视觉 来 告诉 孩子 们 碰到 这种 情绪 时该 怎么 排解 的 书 确实 不 多 。	1	1
洗发水 很 好 ， 一直 都 是 用 的 清 杨 洗发水 。	0	1
穿 了 两个 晚上 ， 还 没有 洗 ， 裤子 就 裂开 了 ， 而且 裤子 质量 不行 ， 裂开 处 的 用料 跟 旧 的 一样 ， 一百多块 钱 就 这样 扔 水里 了 ！	4	0
很 好 ， 很 好吃 ， 包装 的 很 好 ， 一点 坏 的 地方 都 没有 ， 很 喜欢 ， 很 满意 ， 吃 完 再 买	6	1
果子 大小不一 ， 简直 就是 没有 一个 是 大 的 ， 也 没有 他 介绍 的 那么 好 ， 箱子 不小 ， 里面 的 泡沫 好多 啊 ！	6	0
京东 东西 很 好 ， 用 起来 不错 ， 下去 还 在 来 。 够数 了 吗	3	1
味道 蛮 清新 ， 姜味 并 不是 很浓 ， 限用 日期 到 2020 年 。	0	1
首先 书价 很 平民 ， 朴实 的 装帧 让 人 即便 捧 在 床上 看 ， 手臂 也 不酸 。 比起 目前 市面上 充斥 的 心理学 研究 “ 伪书 ” ， 作者 深厚 的 专业 功底 和 德国人 严谨 的 治学 方式 让 这 本书 无论是 对 大众 读者 还是 有 一定 专业 常识 的 读者 都 很 值得一看 。 譬如 我 的 朋友 就 认为 读 了 这 本书 对于 今后 如何 教育 孩子 有 借鉴 意义 。 四种 人格 特征 按照 表现 、 成因 、 特点 、 案例 这样 的 脉络 来 阐述 ， 思路清晰 ， 逻辑性 强 ， 容易 理解 ， 非常 棒 ！	1	1
平板 好用 ， 反正 够快 ， 玩游戏 也 不卡 ！ 照相 也 清晰 非常 喜欢 ， 这 款 平板 我 看 了 好久 的 了 ， 支持 京东 ， 一直 在 这 京东 买 东西 ， 可惜 好多 东西 京东 没有 ！	3	1
哎 ！   不会 是 蒙牛 干 的 吧   严惩 真凶 ！	6	0
不 按 客户 要求 发货 、 尺码 不 对 、 咋个 穿 、 我晕 、 我要 33 码 、 发给 我 31 码 、 我 吐 … … 差 、 差 、 差	4	0
1 . 机器 本身 没有 XP 的 驱动 ， 找 驱动 费 了 好长时间 。 官方网站 也 没有 xp 的 驱动   2 . 触摸板 无法 锁 。	3	0
发货 很快 ， 很 新鲜 ， 质量 不错 ， 口感 还 行 ， 整体 不错 ， 好评	6	1
用 了 十多天 ， 感觉 非常 好用 ， 可以 玩玩 王者 荣耀 。 看 视频 ， 看 视频 不卡 。 手感 不错 。 非常 喜欢 。 快递 很快 第二天 就 到 了 。 性价比 很 高 。 就是 电量 的话 ， 一直 用 几个 小时 ， 总体 来说 还是 可以 的 。	3	1
还 不错 ， 京东 物流 没 谁 了 ， 吃 了 一个 很 好吃 ， 大爱 ！ 支持 京东 ！ ！ ！	6	1
屏幕 亮度 不够 亮 ， 其他 还好 啊	3	1
说 多 都 是 泪 啊 ！ 洗完 头皮屑 多 ， 已经 扔掉   浪费 钱	0	0
秒杀 的 ， 还 不错 ， 物美价廉 ， 很 喜欢 ， 有 机会 再来 拍 ！ 好评 ！	6	1
掉色 太 严重 了 ， 质量 很 一般	4	0
苹果 很 好吃 ， 京东 物流 给力 ， 一点 没 损坏 ， 还会 买	6	1
不好 用   用 完 头屑 很多   头痒   差评	0	0
感谢 亲 的 光临 ， 亲 的 满意 ， 就是 我们 最大 的 欣慰 ， 最大 的 回报 。 小店 会 更加 努力 做好 ！ 小店 还有 户外活动 功能性 的 手表 和 手电筒 ， 质量 和 服务 也 一样 是 杠杠 滴 哦 ， 为 您 的 户外活动 保驾护航 ， 为 您 的 户外活动 增添 一份 安全 和 快乐 ， 定 不负 您 的 期待 ！ 欢迎您 的 再次 光临 ！	0	1
服务态度 极差 ， 不可 忍受	5	0
不 满意 ， 裤子 小 了 一个 码 ， 要求 换货 ， 也 没 说 换 还 不换 。	4	0
沙宣 的 产品 ， 得 看 个人 适不 适合	0	0
套装 ， 价格 很 合适 ， 一直 用 清扬 ， 618 活动 价格 挺 给 力 ！	0	1
cpu 太差   一点 都 不 流畅   亏了	3	0
手感 不错 ， 声音 效果 也 行 ， 发短信 方便	3	1
打电话 时 声音 有 噪音 也 没 手电筒 没 耳机 冲电 也好 慢	3	0
酒店 很脏 ， 到处 都 是 发霉 的 味道 。 在 我 结帐 的 时候 ， 发生 了 一个 小 意外 ， 服务员 说 我 喝 了 房间 的 矿泉水 （ 姑且 认为 她 是 在 搞笑 吧 ) ， 我 让 服务员 把 我 喝 过 的 矿泉水瓶 拿 下来 。 结果 服务员 （ 当天 的 值班 经理 ） 拿 了 一瓶 农夫山泉 ， 说 是 我 将 瓶盖 打开 了 一半 。 我 当场 回绝 。   结果 这个 值班 经理 把 水 往前 台一 扔 ， 走 了 。   前台 小姐 问 我 说 怎么办 ？ 我 说 你 凭 什么 说 是 我 将 瓶子 盖 打开 的 ， 也许 一 开始 就是 这样 的 ， 前台 说 ， 那 你 进去 的 时候 为什么 不 检查一下 。 我无语 ： 难道 要 让 我 检查一下 所有 的 东西 ， 小姐 ， 我 是 住店 的 ， 不是 什么 检查团 的 。 请 你 搞清楚 。 于是 我 说 了 一个 谎 ， 我 觉得 对于 这些 无聊 的 人 这 是 最 省事 的 。   我 说 我 检查 过 ， 当时 没有 打开 ， 现在 为什么 开 了 。 一定 是 你们 的 员工 干 的 。 后来 前台 没 办法 ， 开了个 客人 拒付 的 单子 。 总之 ， 觉得 很 郁闷 ， 住 了 这么 多 携程 推荐 的 酒店 ， 这 一家 是 最差 的 经历 。	5	0
没有 提供 XP 驱动 ， 装机 比较 麻烦 。   不过 可以 找 驱动 精灵 和 Z 武器 。 同时 ， 提供 的 驱动 盘 里 很多 程序 也 是 可以 在 XP 在 中 使用 的 。   LCD 的 显示屏 一般 ， 最好 能 改成 LED 的 。	3	0
刚 收到 看起来 还 不错 ， 还 没用 就 不 知道 效果 怎么样 了 。	0	1
苹果 小 的 也 太小 的 吧 ， 就 三个 大 一点 ， 一颗 星给 快递 小哥	6	0
之前 洗 清扬 的 ， 头发 顺 、 不油 ， 现在 这个 越洗 越 多 头屑 ， 越油 ， 京东 现在 真的 不可 信 了 ， 建议 不要 买 ， 一分钱 一分货	0	0
我 是 在 大 一 的 时候 读 到 王小波 ， 从 青铜时代 开始 ， 后来 陆续 读完 。 感觉 很 熟悉 ， 与 作者 ， 与 文字 ， 与 他 笔下 的 生活 。 说不上 读得 太 透彻 ， 但 心里 是 有 共鸣 的 。 这次 拿到 这 套书 ， 感觉 陌生 了 许多 。 读 起来 有些 字斟句酌 。 王小波 应该 不会 希望 别人 像 读经 那样 读 他 的 小说吧 。 他 永远 是 悲悯 的 关注 着 社会 中 的 小众 ， 却 无法 超脱 ， 让 人 觉得 可爱 。 这 套书 的 印刷 不是 很 好 ， 纸张 好像 要 将 读者 与 作者 隔绝 开来 一样 。 插图 尚可 。	1	1
电池 强劲 ， 虽然 没有 达到 9.5 小时 ， 但 初次 使用 觉得 6 小时 应该 有 的   。   键盘 舒服 ， 尺寸 大小 合适 。	3	1
掉头发 ， 可能 是 不 适合 我	0	0
平时 没有 头屑 ， 一用 这个 洗发水 头屑 立马 出来 ， 还 挺 多 ！ ！ ！	0	0
穿 上 舒服 ， 味道 不 大 ， 做工 很 好 ， 工艺 都 好 ， 没 看到 有 线头 的 现象 。 这 价钱 觉得 值 了 。	4	1
通过 用 优势 识别器 , 真是 发现 了 自己 不同之处 . 未读 此书 时 一直 都 是 重点 关注 自身 的 弱点 如何 改正 , 这 也 跟 环境 有 关系 的 , 中国 的 文化 从来 都 是 关注 弱势 的 改正 , 包括 学校 的 老师 \ 父母 \ 公司 , 不过 这样 我 反而 成长 中带 着 自卑 去 过活 ! 读完 此书 , 突然 有种 思想 很 开阔 , 我 想 我 开始 要 去 创造 新 的 自我 了 ~ ~ ~ ! 有点 建议 的 就是 : 因为 是 翻译 过来 的 , 所以 字句 方面 有点 令 我 容易 昏昏沉沉 , 当读 到 有用 的 地方 又 很 精神 了 ~	1	1
目前 使用 情况 还 不错 ， 京东 的 良品率 还是 值得称赞 的 ， 想 买 的 可以 下手	3	1
这个 裤子 上身 效果 很棒 ， 穿 上 很 时尚 ， 料子 也 很 好 ， 好评 好评 好评 ！ ！ ！ ！ ！ ！ ！ 下次 还会 光顾	4	1
1 . 外屏易 沾染 指纹 和 污渍 ；   2 . 铃声 音量 不够 大 ；   3 . 只有 1.5 M 动态内存 , 存储量 实在 太小 ；   4 . 响应速度 偏慢 ；   5 . 不 支持 红外 与 蓝牙 ；	3	0
这 是 本 perfect 的 书 ！ 看到 拉拉 仿佛 看到 我 自己 ， 我 现在 也 是 一名 销售 助理 兼 行政主管 ， 所以 看 这 本书 的 时候 我视 拉拉 为 自己 ， 其中 人物 的 内心 感受 和 我 有 惊人 的 相似 ， 所以 我 更 能 体会 主人公 拉拉 的 感受 和 理解 拉拉 的 举动 。 我 也 曾 迷茫 ， 是 拉拉 给 了 我 前进 的 动力 ！ 作为 刚 踏上 社会 的 我 来说   总是 感情用事 ， 做事 太直 ， 我要 不断 吸取 社会 经验 、 为人处事 知道 ， 让 自己 不断进步 。 书中 的 很多 道理 是 很 实用 的 ， 有时 我 也 会 刻意 要求 自己 怎样 怎样 做 。 有时 我会 埋怨 ， 因为 在 公司 看起来 我 似乎 是 最忙 的 ， 可是 我 的 薪水 依然 是 最低 的 。 拉拉 就是 我 的 榜样 ， 和 我 同行业 的 榜样 ， 我要 进步 ， 只要 我 努力 ， 我 一定 会 进步 ！ 《 杜 拉拉 升职 记 》 值得 阅读 的 一本 好书 ！	1	0
东西 来 的 时候 包装 也 不好	0	0
1 . SATA 的 问题 ， 经过 发狂 后 。 认为 装 XP 前要 改 硬盘 模式 为 ： IDE - Native .   这样 就 不会 出现 黑屏 的 问题 。   我 在 AHCI 模式 下 也 装上 了 XP ， 但是 装 驱动 的 时候 一直 黑屏 。	3	0
荣耀 平板 电脑 不错 国产品牌 就是 好	3	1
物流 给力   质量 好   做 工细   颜色 好   效果 好   很 满意   赞 一个	4	1
很 满意 ， 还有 几瓶 迷你型 的 ， 沙宣 一直 都 很 好 用 … 支持 京东	0	1
物流 真 快 ！ 下单 后 22 小时 取货 ， 宝贝 试用 三 小时 ， 系统升级 出 了 点 问题 ， 拍照 不能 使用 ， 重新 升级 解决 ！ 以为 硬件 有 问题 ！ 充电 速度 、 发热量 一般 。 只是 内存 小 了 点 ， 只有 不到 10G 内存 ， 需 扩展 SD 卡 32G 以上 才行 ， 否则 用 不了 多久 ， 肯定 卡 、 慢 ！ 总体 上 宝贝 可以 。	3	1
假货 不是 正品 ， 假货 不是 正品	0	0
三个 火龙果 全是 烂 的 ， 而且 小得 可怜 。	6	0
很 好 ， 穿着 很 舒服 ， 白色 搭配 很 方便	4	1
不错 ， 本本 超薄 ， 携带方便 。 原本 想 买 黑色 的 ， 收到 货 以后 发现 这个 颜色 还 挺不错 ， 不会 太艳 ， 也 有 送 原装 内胆 包 。	3	1
还 可以 吧 ， 我 是 618 做 活动 买 的 ， 挺 实惠 的	0	1
呵呵 ~ 通病 ， 京东 的 东西 ~ 就是 价钱 浮动 太 频繁 了 ~ 打算 入手 的 建议 多 留意 几天 价钱 再够 ~ 6 月 10 日 下单 买 的 当时 也 是 喊 着 口号 618 大促 ~ 单 裸机 （ 无 增值 保障 ） 是 以 1888 人民币 下单 买下 的 ~ 收货 后 到 现在 ~ 隔 了 几天 了 打算 问 一下 增值 保障 发票 问题 ~ 说 是 要 7 月份 后 1 - 2 个 月 左右 发 ~ 突然 发现 这 款 手机 又 降 了 100 块 成 1788 了 ~ 现在 是 6 月 17 日 ~ 也许 前 几天 就 降价 了 吧 ~ 反正 我 是 刚 看见 ~ 增值 业务 2 年 只 换 不修 也 由 166 降成 了 159 ~ 啊 啊 ~ 我 的 小 心脏 ~ 穷 B 的 我   表示 心里 不 平衡 啦 ！ ！ ！ 疼疼 ~ 被 坑 了 的 感觉	3	0
比 想象 中好 很多 ， 流畅 度 不错 ， 操作 比较 灵敏 。 虽然 比 ipad 还有 一些 差距 ， 不过 考虑 到 这个 价格 只有 水果机 的 三分之一 ， 很 不错 了 。	3	1
很 不好 真的 ， 就 跟 旧 的 一样	4	0
因为 工作 方便 关系 ， 常 来往 此 酒店 ， 交通 是 个 很大 的 考量 。 不过 现在 通宝 巴士 和 永东 巴士 都 不 跑 这 一间 酒店 ， 又 少 了 一些 方便 。 前两天 入住 ， 前台 注意 到 正好 是 我 的 生日 ， 还 特别 安排 送 了 一个 蛋糕 ， 感觉 很 窝心 。	5	1
真心 不好 。 大家 别买 了 。 。 。 。 。 。 。 。 。	3	0
东西 不好 ， 才 用 几天 就 老 是 死机 ， 死机 了 都 不 知道 从 哪里 能 搞好 ， 烦死 了	3	0
太 垃圾 了 ， 裤子 褪色 严重 ， 而且 一股 很重 的 气味 … …	4	0
图画 , 文字 都 不错 , 尤其 是 画面 . 对于 小孩子 来说 , 的确 是 一套 不错 的 图画书 .	1	0
手机 不好 用	3	0
选 了 一段时间 ， 最终 决定 还是 购买 这款 541 ， 商务 机 的 性能 就 不用说 了 ， ok 。 加上 我 是 hp 忠实 的 用户 ， 2006 年初 购买 的 hp2205 到 现在 还 能 正常 服役 。   安装 xp 驱动 有些 困难 ， 建议 购买 的 朋友 改装 系统 时用 “ 驱动 精灵 ” 软件 来 解决 繁杂 的 驱动程序	3	1
用过 了 才 来 评价 ， 感觉 是 正品 ， 洗完 感觉 头发 特别 顺滑 ， 一直 都 很 喜欢 这个 牌子	0	1
订 了 商务 大床 间 ， 可惜 房间 小 的 可怜 ！ 床 和 写字台 之间 太紧 ， 基本上 不能 转身 。 更 无法忍受 的 是 房间 卫生间 的 异味 太重 ！ 投诉 后 ， 没有 任何 的 解决方案 ， 说 空气清新 用 完 了 ， 居然 让 我 开窗 通通 空气 ， 让 人 哭笑不得 ！ 客人 来 过 都 表示 气味 难闻 ， 很 尴尬 。 房价 也 严重 的 性价比 不值 。 早餐 就 不想 提了 ！ 强烈建议 不要 入住 ！	5	0
16g 是 存储 ， 这个 平板 搭载 麒麟 930CPU   价格便宜 ， 性价比 很 高	3	1
特意 吃 完 了 才 过来 评价 ， 总结 起来 四个 字 ： 小 、 硬 、 酸 、 涩 。 是 在 京东 上 买 的 品质 最差 的 水果 ， 打出 的 一星 给 快递 师傅 。	6	0
机器 买 了 十天 了 ， 这些 天 一直 在 用 ， 确实 不错 ， 做工 很 好 ， 外观 很棒 ！ 重量 也 控制 的 不错 ， 电源 很 mini	3	1
1   电池 不太 耐用 ， 很难 支持 到 2 天 以上 。 2   短信 不 支持 号码 提取 。 用 C618 发短信 ， 输入 号码 按下 “ OK ” 进入 号码 本 ， 但是 不能 进行 查找 操作 。 3   屏幕 有些 偏色 ， 图片 显示 也 不够 靓丽 ， 由于 是 STN 屏幕 的 原因 ， 强光 环境 下 屏幕显示 不清 。	3	0
影响 最深 的 是 自助餐 较 丰盛 , 只是 虾 , 蟹 等 要 另外 购买 . 价格 也 很 公道 .	5	1
送货 相当 快 ， 早晨 7 点多 订单 ， 中午 12 点 送到 。   朋友 看 了 配置 都 说 这 机子 想 当棒 ， 超值 。	3	1
京东 就是 实惠 ， 对于 老 粉丝 的 我 来说 ， 京东 就是 买 的 放心 ， 送货 快 ， 质量 有 保障 。 。 。 大大小小 东西 都 是 在 这 买 的 ， 好评 好评 ， 放心 购买 吧 。 。 。 头发 油 ， 用 这款 很 好	0	1
刚 拿到 这 本书 时有 一种 莫名 的 激动 。 迫不及待 地 打开 来 欣赏 ， 果然 是 期望 中 的 繁体版 ， 更加 兴奋 。 前前后后 花 了 大约 一个月 的 时间 完成 ， 感觉 这个 战乱 中 的 校园 唯美 得 让 人 羡慕 ， 它 比 我 在 这 和平 时代 经历 的 大学 生活 更 丰富 。 临近 毕业 ， 好友 一个个 离开 ， 虽然 没有 过多 的 描写 ， 但 不免 看 了 让 人 心酸 ， 就 在 一年 前 我 也 经历 了 一场场 大学 好友 的 分离 痛苦 。 只有 记忆 存留 心中 。 不过 ， 还是 歌 更令 我 感动 。	1	1
东西 收到 后 很 不好   都 烂 了   也 有 没烂 的   不过 口感 不好   唯一 感到 满意 的 就是 京东 的 服务	6	0
挺不错 的 苹果 ， 包装 结实 ， 物流 快	6	1
一共 买 了 12 个 ， 8 个 都 是 发霉 ， 坏 的 。 冷库 着火 了 吗 ？ ！	6	0
垃圾 客服 问 什么 没 反应 ， 发过来 的 和 图片 不 一样 。 不 建议 购买	4	0
衣服 洗 了 四次 ， 穿衣服 的 时候 还是 掉 颜色 ， 衣服 穿 在 身上 ， 手上 和 上衣 上 全是 蓝色 的 ， 买 的 时候 注意	4	0
如果 不想 在 神仙 居 景点 玩 2 天 以上 ， 那 还是 应该 选择 近 市区 的 酒店 ， 否则 过 了 5 点 以后 就要 坐 出租车 上山 喽 ， 嘿嘿 ！ 还有 就是 房间内 有 跳蚤 ， 被 咬 了 好几口 。 不过 餐厅 的 饭菜 做 的 还 不赖 ， 量 又 多 。	5	1
我 收到 都 坏 了 ， 刚 收到 ， 打开 一看 全坏 了	6	0
华为 质量 过关	3	1
质量 不错 ， 做工 精细 ， 料子 很 好 ， 穿 上 很 舒服	4	1
还 不错 ， 一如既往 ， 送货 快 ， 符合 预期	6	1
刚 收到 时 ， 看 了 下 ， 表面 上 觉得 还 可以 ， 可是 这 是 吃 的 第三个 ， 就是 这样 的 ， 不 知道 接下去 的 是 什么样 的 ！ 求 京东 给 个 说法 ！ 有图 有 真相 ， 希望 大家 在 京东 生鲜 买 水果 或者 其他 的 东西 的 时候 ， 下手 要 慎重 ！	6	0
京东 的 东西 说实话 送货 是 快 ， 但 物品 的 质量 就 得不到 保证 了 。 一口 咬 下去 就是 这 样子 ， 我 都 惊呆 了 。	6	0
裤子 质量 ， 手感 什么 的 都 非常 好 ， 穿着 很 舒适 ， 物超所值 ， 下次 还 想来 这买	4	1
1 , 外观 ， 还 可以 ！ 比较 好看 2 , 屏幕 ， 在 阳光 下 不好 看清楚 ！ 在 其他 的 地方 还是 很 好 的 ！ 当然 没有 TFT 的 屏幕 好 ， 但是 价格 在 950 ， 就 可以 了 3 , 基本 没有 什么 bug 。 有 的 时候 电话薄 上 的 有 一个 人 的 名字 ， 但是 按 决定 不能 进入 ， 但是 也 删出 不 掉 。 需要 你 全部 复制到 SIM   卡上 ， 在 复制 回 话机	3	1
一点 都 不好 都 成 这样 了 还 买 太差 了 再也 不买 了	6	0
还 没 开始 用 ， 先给 个 好评 吧 ， 主要 是 支持 京东 ， 给 快递 小哥 点赞	0	1
货品 很家 ， 我 是 这 几 品牌 的 忠实 粉丝 。 用 起来 的 感觉 不 一样 ， 特别 是 唇膏 。	0	0
苹果 很 好 ， 个 大 ， 很脆 ， 水分 足 ， 很 清甜 ！ 好吃 ！ 京东 物流 快捷 方便 ， 服务态度 非常 好 ！	6	1
